product_id,color,size,width,brand_name,model_name,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,qty
145851,Black,2-5 yrs,104 mm,Hooper online,LKJ E10062,1000,eyeframe,58,65,4.75,12,75
145849,Black,2-5 yrs,104 mm,Hooper online,LKJ E10062,1000,eyeframe,82,83,4.75,12,19
145858,Pink,2-5 yrs,104 mm,Hooper online,LKJ E10062,1000,eyeframe,93,119,4.75,12,2
147384,Brown,Medium,135 mm,John Jacobs Computer Glasses,JJ E13358,4000,eyeframe,886,231,4.75,8,67
150757,Gold,Medium,133 mm,John Jacobs,JJ E14378AF,3000,eyeframe,0,56,0.0,,34
150766,Gunmetal,Medium,136 mm,John Jacobs,JJ E14380AF,3000,eyeframe,0,62,0.0,,13
150765,Gunmetal,Medium,136 mm,John Jacobs,JJ E14380AF,3000,eyeframe,0,58,0.0,,31
150771,Gunmetal,Medium,136 mm,John Jacobs,JJ E14381AF,3000,eyeframe,0,118,0.0,,2
150892,Pink,Medium,138 mm,John Jacobs,JJ E14306AF,3000,eyeframe,0,80,0.0,,85
150959,Gold,Wide,139 mm,John Jacobs,JJ E14436,3500,eyeframe,0,371,0.0,,736
151990,Orange,Medium,137 mm,Lenskart Air,LA E14624AF,1700,eyeframe,0,120,0.0,,35
200703,Pink,Extra Wide,144 mm,OJOS,OJ E14856,1700,eyeframe,0,172,0.0,,41
205623,Black,Narrow,130 mm,OJOS,OJ S15222,2000,sunglasses,0,72,0.0,,59
205625,Gold,Wide,138 mm,OJOS,OJ S15223,2000,sunglasses,0,101,0.0,,138
207391,Green,Wide,139 mm,OJOS,OJ E15442,1700,eyeframe,0,170,0.0,,5
209124,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Dark Hazel Zero Power Monthly,899,contact_lens,0,10,0.0,,0
209129,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Light Green Zero Power Monthly,899,contact_lens,0,5,0.0,,0
209146,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Violet Zero Power Monthly,499,contact_lens,0,71,0.0,,5000
209251,Black,Extra Wide,142 mm,OJOS,OJ S15730,2000,sunglasses,0,44,0.0,,66
209249,Green,Medium,135 mm,OJOS,OJ S15729,2000,sunglasses,0,41,0.0,,9
209255,Black,Extra Wide,142 mm,OJOS,OJ S15730,2000,sunglasses,0,27,0.0,,128
209252,Tortoise,Extra Wide,142 mm,OJOS,OJ S15730,2000,sunglasses,0,13,0.0,,151
209261,Cream White,Extra Wide,143 mm,OJOS,OJ S15732,2000,sunglasses,0,36,0.0,,102
210496,Green,Medium,135 mm,Vincent Chase,VC E11260,1700,eyeframe,0,357,0.0,,943
