id,color,size,width,brand_name,model_name,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,qty
211462,Gunmetal,Medium,135 mm,Lenskart Air,LA E16176,2000,eyeframe,0,1264,0.0,,591
216847,Black,Wide,141 mm,John Jacobs,JJ E16888,5000,eyeframe,0,901,0.0,,14
146881,Gunmetal,Wide,138 mm,John Jacobs,JJ S13803,5000,sunglasses,914,6486,5.0,3,138
150594,Blue,Medium,135 mm,Lenskart Air,LA E14366,2000,eyeframe,1424,16929,4.7,15,1
207674,Blue,5-8 yrs,123 mm,Hooper,HP E15012M,1000,eyeframe,0,3199,0.0,,1355
213361,Silver,Medium,134 mm,Lenskart Air,LA E16568,2000,eyeframe,0,1069,0.0,,2009
210295,Black,Narrow,132 mm,Vincent Chase,VC E11262,2000,eyeframe,0,1181,0.0,,738
210982,Purple,5-8 yrs,124 mm,Hooper,HP E16080,1000,eyeframe,0,918,0.0,,585
200858,Transparent,Medium,136 mm,Fossil,FOS7124,7000,eyeframe,0,3885,0.0,,56
213210,Black,Medium,136 mm,Vincent Chase,VC S16528,2000,sunglasses,0,1981,0.0,,53
213213,Black,Medium,136 mm,Vincent Chase,VC S16528,2000,sunglasses,0,1583,0.0,,45
150128,Black,Medium,136 mm,Fossil,FOS 7118,7000,eyeframe,295,4106,4.8,5,295
204826,Black,Wide,141 mm,Vincent Chase Polarized,VC S11744,2000,sunglasses,0,21609,4.5,70,14
211217,Grey,Wide,139 mm,Vincent Chase,VC E14039,2000,eyeframe,0,2261,0.0,,179
215337,Gunmetal,Wide,140 mm,John Jacobs,JJ S16634,5000,sunglasses,0,928,0.0,,474
216023,Gold,Medium,140 mm,Vincent Chase Polarized,VC S16774,2000,sunglasses,0,763,0.0,,583
210503,Black,Medium,134 mm,Vincent Chase,VC E13441,2000,eyeframe,0,483,0.0,,1535
215961,Grey,Wide,143 mm,Vincent Chase Polarized,VC S16746,2000,sunglasses,0,1141,0.0,,1387
149783,Black,Wide,139 mm,Lenskart Blu,LB E14255,1500,non_power_reading,930,6029,4.6,30,861
201408,Silver,Medium,138 mm,John Jacobs,JJ E12735,5000,eyeframe,0,2209,0.0,,1105
204142,Midnight Blue,Extra Narrow,125 mm,Lenskart Hustlr,HP E15011,2000,eyeframe,0,9323,4.65,13,337
213272,Silver,Narrow,134 mm,Vincent Chase Polarized,VC S16553,2000,sunglasses,0,816,0.0,,827
216050,Gold,Wide,142 mm,Lenskart STUDIO,LK S16736,3000,sunglasses,0,434,0.0,,420
206141,Brown,Medium,137 mm,Lenskart Air,LA E15325,3000,eyeframe,0,4701,4.4,5,1586
151646,,,,Alcon Air Optix,Alcon Air Optix Plus Monthly Disposable 10Hrs,2300,contact_lens,10,8074,5.0,2,49977
213469,Gold,Narrow,131 mm,John Jacobs,JJ E16575,5000,eyeframe,0,1029,0.0,,10
215913,Grey,Medium,135 mm,Lenskart Air,LA E16727,2000,eyeframe,0,798,0.0,,1480
205979,Black,Medium,137 mm,John Jacobs,JJ E15292,3500,eyeframe,0,5148,0.0,,1056
215436,Black,Medium,136 mm,Lenskart Air,LA E13852,2000,eyeframe,0,403,0.0,,1784
208206,Gold,Narrow,132 mm,Vincent Chase Online,VC E15582,2000,eyeframe,0,2225,4.25,8,115
219493,,,,Aquacolor,Aquacolor Happy Honey Zero Power Dailies 10 Lens Box,599,contact_lens,0,398,0.0,,0
